order_id,first_mile_distance,last_mile_distance,alloted_orders,delivered_orders,undelivered_orders,lifetime_order_count,session_time,reassigned_order,order_hour,day_of_week,is_weekend,is_peak_hour,predicted_eta_min,status
ORD001,2.8,3.52,1,86,0,60,440,1,10,1,0,0,17.8,Delivered
ORD002,1.2,4.48,4,78,4,143,368,0,10,1,0,0,22.07,Delivered
ORD003,2.95,5.62,2,34,1,84,388,0,10,1,0,0,22.75,On the Way
ORD004,3.48,4.82,10,62,3,69,529,0,10,1,0,0,26.21,Preparing
ORD005,3.64,2.56,1,98,4,168,434,0,10,1,0,0,30.22,Delivered
ORD006,3.24,5.02,2,38,4,160,424,0,10,1,0,0,28.32,On the Way
ORD007,3.3,2.94,4,40,3,151,301,0,10,1,0,0,20.53,On the Way
ORD008,3.08,6.27,8,50,3,38,352,0,10,1,0,0,27.58,Delivered
ORD009,3.87,7.41,9,94,4,48,270,1,10,1,0,0,51.31,On the Way
ORD010,2.5,7.81,3,139,4,30,311,1,10,1,0,0,35.58,Delivered
ORD011,0.79,2.51,7,49,1,83,411,0,10,1,0,0,15.6,Preparing
ORD012,1.09,3.14,5,64,0,179,131,0,10,1,0,0,18.3,Picked Up
ORD013,2.03,6.52,6,71,0,67,188,0,10,1,0,0,23.51,Picked Up
ORD014,0.81,1.74,10,128,3,152,185,1,10,1,0,0,14.2,Delivered
ORD015,2.55,2.9,5,26,2,178,102,0,10,1,0,0,17.81,Picked Up
ORD016,1.46,7.39,6,121,5,54,558,0,10,1,0,0,33.79,Picked Up
ORD017,3.92,2.52,9,28,5,120,584,0,10,1,0,0,26.35,Preparing
ORD018,3.84,3.56,8,141,2,98,416,1,10,1,0,0,22.63,Delivered
ORD019,3.22,5.47,7,140,5,146,104,0,10,1,0,0,30.19,On the Way
ORD020,2.28,1.54,1,22,4,65,239,1,10,1,0,0,19.49,Picked Up
